"td-time","hidden-xs","visible-xs","center-in-same-flight","mobile-only","in-same-flight","mobile-only 2","mobile-only 3","mobile-only 4","mobile-only 5","mobile-only 6","td-destination","td-airline","td-flight"
"18:45","T1","TT1","TP 1358","+4","4","AD 7173","S4 8048","SQ 2776","UA 6884","","London, Heathrow","TAP AIR PORTUGAL",""
"18:45","T1","TT1","IB 536","+1","1","BA 4280","","","","","Madrid","IBERIA",""
"18:45","T1","TT1","","","","","","","","","Milan, Malpensa","EASYJET EUROPE","EJU3876"
"18:45","T1","TT1","TP 203","+2","2","AC 2662","B6 6765","","","","Newark","TAP AIR PORTUGAL",""
"18:45","T1","TT1","TP 934","+3","3","AD 7259","S4 8792","LX 4583","","","Zurich","TAP AIR PORTUGAL",""
"18:50","T1","TT1","TP 556","+4","4","AC 2665","AD 7256","LH 6971","S4 8770","","Munich","TAP AIR PORTUGAL",""
"18:55","T2","TT2","VY 1982","+1","1","IB 5325","","","","","Paris, Orly","VUELING AIRLINES",""
"19:00","T1","TT1","TP 756","+3","3","S4 8670","SK 8922","JJ 6901","","","Copenhagen","TAP AIR PORTUGAL",""
"19:00","T1","TT1","","","","","","","","","London, Luton","EASYJET AIRLINES","EZY2462"
"19:00","T2","TT2","","","","","","","","","Naples","RYANAIR","FR 1317"
"19:15","T1","TT1","","","","","","","","","Tel Aviv","EL AL","LY 376"
"19:25","T1","TT1","SN 3820","+3","3","EY 7196","SQ 2810","TP 6766","","","Brussels","BRUSSELS AIRLINES",""
"19:30","T1","TT1","TP 442","+3","3","AD 7319","S4 8388","JJ 6960","","","Paris, Orly","TAP AIR PORTUGAL",""
"19:35","T2","TT2","","","","","","","","","Krakow","RYANAIR","FR 4024"
"19:35","T2","TT2","","","","","","","","","London, Stansted","RYANAIR","FR 1885"
"19:45","T1","TT1","TP 944","+5","5","AC 2691","AD 7342","LY 9014","S4 8350","LX 4595","Geneva","TAP AIR PORTUGAL",""
"19:50","T1","TT1","TP 1366","+5","5","AC 2697","AI 7914","AD 7174","S4 8620","UA 6894","London, Heathrow","TAP AIR PORTUGAL",""
"19:50","T1","TT1","TP 828","+3","3","AD 7345","AZ 7529","S4 8916","","","Milan, Malpensa","TAP AIR PORTUGAL",""
"20:00","T1","TT1","TP 646","+3","3","AC 2663","SN 6406","S4 8486","","","Brussels","TAP AIR PORTUGAL",""
"20:00","T1","TT1","TP 838","+4","4","AD 7246","AZ 7527","S4 8384","SQ 2798","","Rome, Fiumicino","TAP AIR PORTUGAL",""
"20:00","T1","TT1","TP 494","+2","2","S4 8952","JJ 6924","","","","Toulouse, Blagnac","TAP AIR PORTUGAL",""
"20:05","T1","TT1","UX 1160","+2","2","AM 6829","AD 7853","","","","Madrid","AIR EUROPA",""
"20:05","T2","TT2","","","","","","","","","Budapest","WIZZ AIR HUNGARY","W6 2394"
"20:10","T2","TT2","","","","","","","","","Manchester","RYANAIR","FR 3953"
"20:15","T1","TT1","","","","","","","","","Milan, Malpensa","EASYJET EUROPE","EJU3874"
"20:20","T1","TT1","TP 404","+2","2","LY 9034","S4 8314","","","","Marseille","TAP AIR PORTUGAL",""
"20:25","T1","TT1","TP 1326","+1","1","S4 8300","","","","","Dublin","TAP AIR PORTUGAL",""
"20:25","T2","TT2","","","","","","","","","Asturias","VOLOTEA","VOE3595"
"20:30","T1","TT1","TP 474","+1","1","S4 8322","","","","","Lyon, St. Exupery","TAP AIR PORTUGAL",""
"20:35","T2","TT2","","","","","","","","","Dublin","RYANAIR","FR 651"
"20:40","T1","TT1","TP 484","+1","1","S4 8326","","","","","Nice","TAP AIR PORTUGAL",""
"20:45","T1","TT1","TP 1483","+3","3","AC 2637","JJ 6965","EK 4808","","","Dakar, Blaise Diagne","TAP AIR PORTUGAL",""
"20:45","T1","TT1","EK 194","+1","1","TP 6733","","","","","Dubai","EMIRATES",""
"20:45","T1","TT1","IB 1146","+1","1","BA 4288","","","","","Madrid","IBERIA",""
"20:45","T1","TT1","TP 1543","+2","2","TK 8135","EK 4824","","","","Praia","TAP AIR PORTUGAL",""
"20:50","T1","TT1","TP 1040","+6","6","AD 7289","LY 9004","LO 4714","S4 8942","SQ 2794","Barcelona","TAP AIR PORTUGAL",""
"20:55","T1","TT1","TP 1549","+8","8","SN 6407","LH 5900","ET 2748","LO 4733","LX 4578","Sal","TAP AIR PORTUGAL",""
